MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,AARTIIND,AARTI INDUSTRIES LTD,      1690.75,      1710.00,      1718.00,      1695.00,      1710.70,               1362199054.35,796923,N, ,38526,      1815.05,       850.30
N,EQ,AARTISURF,AARTI SURFACTANTS LIMITED,      1396.90,      1440.00,      1448.00,      1383.95,      1393.20,                 50251687.75,35716,N, ,4060,      1730.00,       833.00
N,EQ,AARVI,AARVI ENCON LIMITED,        67.90,        69.80,        69.80,        66.65,        68.30,                  4528973.30,66768,N, ,1059,        78.00,        24.70
N,EQ,AAVAS,AAVAS FINANCIERS LIMITED,      2422.35,      2441.10,      2533.65,      2392.65,      2434.30,                356725415.00,143015,N, ,18471,      2674.75,      1155.55
N,EQ,ABAN,ABAN OFFSHORE LTD.,        39.50,        40.10,        43.45,        39.85,        43.45,                 33548329.45,796610,N, ,4186,        43.45,        20.35
N,EQ,ABB,ABB INDIA LIMITED,      1650.50,      1659.00,      1698.00,      1637.00,      1685.65,                450109056.55,269594,N, ,18084,      1754.00,       780.00
N,EQ,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,       122.80,       123.00,       126.50,       123.00,       124.90,                455928322.05,3651379,N, ,24383,       139.70,        51.30
N,EQ,ABFRL,ADITYA BIRLA FASHION & RT,       204.00,       206.35,       209.95,       204.30,       205.00,                705331690.55,3413775,N, ,36873,       223.70,       111.80
N,E1,ABFRLPP1,ADITYA BIRLA RS7.5 PPD UP,       172.20,       173.00,       176.00,       170.40,       172.75,                  4131571.50,23708,N, ,751,       186.65,       116.00
N,SM,ABINFRA,A B INFRABUILD LIMITED,         7.05,         7.40,         7.40,         7.40,         7.40,                   296000.00,40000,N, ,4,        10.25,         5.00
N,EQ,ABMINTLTD,ABM INTERNATIONAL LTD,        59.85,        58.30,        65.80,        58.30,        63.75,                   398191.00,6396,N, ,216,        65.90,        45.00
N,EQ,ACCELYA,ACCELYA SOLN INDIA LTD,      1094.95,      1112.00,      1133.45,      1091.00,      1114.75,                 74108732.70,66318,N, ,6940,      1133.45,       800.00
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        15.20,        15.95,        15.95,        15.90,        15.90,                    95600.00,6000,N, ,3,        27.00,        10.25
N,EQ,ACCURACY,ACCURACY SHIPPING LIMITED,        59.20,        60.95,        71.00,        58.10,        70.95,                  7175833.60,105833,N, ,899,        71.00,        31.25
N,EQ,ACE,ACTION CONST EQUIP LTD,       164.95,       169.90,       184.90,       168.65,       178.65,                440227583.70,2461072,N, ,29737,       184.90,        48.50
N,SM,ACEINTEG,ACE INTEGRATED SOLU. LTD.,        14.45,        14.45,        14.45,        14.45,        14.45,                    86700.00,6000,N, ,2,        14.45,        14.45
