SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,VGUARD,V-Guard Industries Limite, ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 1.20 PER SH 
BE,COROMANDEL,Coromandel Internl Ltd., ,17/07/2021,26/07/2021,15/07/2021, , ,AGM/DIV - RS 6 PER SH    
BE,EIHAHOTELS,EIHAssociatedHot-RollSett, ,20/07/2021,22/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
BE,BAJAJFINSV,Bajaj Finserv Limited, ,10/07/2021,21/07/2021,08/07/2021, , ,AGM/DIV - RS 3  PER SH   
BE,BAJAJ-AUTO,Bajaj Auto Limited, ,10/07/2021,22/07/2021,08/07/2021, , ,AGM/DIV - RS 140 PER SH  
BE,RBL,Rane Brake Lining Limited,19/07/2021, , ,16/07/2021, , ,AGM/DIV - RS 25 PER SH   
BE,CHOLAFIN,Cholamandalam In & Fin Co, ,26/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 0.70 PER SH 
BE,BAJFINANCE,Bajaj Finance Limited, ,10/07/2021,20/07/2021,08/07/2021, , ,AGM/DIV - RS 10 PER SH   
BE,SMLISUZU,SML Isuzu Limited, ,23/07/2021,30/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
BE,BILENERGY,Bil Energy Systems Ltd, ,17/06/2021,21/06/2021,15/06/2021, , ,ANNUAL GENERAL MEETING   
BE,LALPATHLAB,Dr. Lal Path Labs Ltd.,22/07/2021, , ,20/07/2021, , ,AGM/DIV - RS 8 PER SH    
BE,MPSLTD,MPS Limited, ,24/06/2021,30/06/2021,22/06/2021, , ,ANNUAL GENERAL MEETING   
BE,HEROMOTOCO,Hero MotoCorp Limited, ,24/07/2021,04/08/2021,22/07/2021, , ,AGM/DIV-RS25/SPLDIV-RS10 
BE,MINDACORP,Minda Corporation Ltd, ,05/07/2021,09/07/2021,01/07/2021, , ,DIV - RS 0.35 PER SH     
BE,HIL,HIL Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 25 PER SH   
BE,ORIENTCEM,Orient Cement Ltd., ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
BE,LINDEINDIA,BOC India Limited, ,18/06/2021,24/06/2021,16/06/2021, , ,AGM/DIV - RS 3 PER SH    
BE,VAIBHAVGBL,Vaibhav Gems Ltd, ,02/07/2021,02/07/2021,30/06/2021, , ,AGM/DIV - RS 1.50 PER SH 
BE,DCMSHRIRAM,DCM Shriram Limited,09/07/2021, , ,08/07/2021, , ,DIV - RS 3.80 PER SH     
BE,CYIENT,Cyient Limited, ,07/06/2021,17/06/2021,03/06/2021, , ,AGM/DIV - RS 17 PER SH   
BE,PDSMFL,PDS Multinational Fas Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV-RS 15.75 PER SH  
BE,VISHNU,Vishnu Chemicals Limited,02/07/2021, , ,01/07/2021, , ,AGM/DIV - RS 1 PER SH    
BE,SYNGENE,Syngene International Ltd,14/07/2021, , ,13/07/2021, , ,ANNUAL GENERAL MEETING   
BE,PILITA,PIL Italica Lifestyle Ltd, ,17/06/2021,24/06/2021,15/06/2021, , ,ANNUAL GENERAL MEETING   
BE,PRECAM,Precision Camshafts Ltd., ,20/07/2021,27/07/2021,16/07/2021, , ,AGM/DIV - RE 1 PER SH    
BE,CROMPTON,Crompt Grea Con Elec Ltd,09/07/2021, , ,08/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
BE,5PAISA,5paisa Capital Limited, ,05/06/2021,11/06/2021,03/06/2021, , ,ANNUAL GENERAL MEETING   
BE,TEJASNET,Tejas Networks Limited, ,18/06/2021,25/06/2021,16/06/2021, , ,ANNUAL GENERAL MEETING   
BE,HDFCLIFE,HDFC Life Ins Co Ltd,01/07/2021, , ,30/06/2021, , ,DIV - RS 2.02 PER SH     
BE,LAURUSLABS,Laurus Labs Limited, ,09/07/2021,15/07/2021,07/07/2021, , ,ANNUAL GENERAL MEETING   
BE,ICICIPRULI,ICICI Pru Life Ins Co Ltd, ,18/06/2021,25/06/2021,16/06/2021, , ,DIV - RS 2 PER SH        
BE,VBL,Varun Beverages Limited,12/06/2021, , ,10/06/2021, , ,BONUS 1:2                
BE,MAHLOG,Mahindra Logistic Limited, ,21/07/2021,27/07/2021,19/07/2021, , ,DIV - RS 2.50  PER SH    
BE,HDFCAMC,HDFC AMC Limited, ,01/07/2021,16/07/2021,29/06/2021, , ,AGM/DIV - RS 34 PER SH   
BE,BAJAJCON,Bajaj Corp Limited, ,15/06/2021,21/06/2021,11/06/2021, , ,AGM/DIV - RS 4 PER SH    
BE,SUNDARMHLD,Sundaram Finance Hold Ltd, ,01/07/2021,14/07/2021,29/06/2021, , ,AGM/DIV - RS 0.50 PER SH 
BE,ORIENTELEC,Orient Electric Limited, ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
BE,MAHEPC,Mahindra EPC Irrig Ltd, ,16/07/2021,22/07/2021,14/07/2021, , ,AGM/DIV - RS 1.20 PER SH 
BE,NAM-INDIA,Nippon L I A M Ltd,11/06/2021, , ,10/06/2021, , ,DIV - RS 5  PER SH       
BE,TATACONSUM,TATA CONSUMER PRODUCT LTD, ,12/06/2021,18/06/2021,10/06/2021, , ,AGM/DIV-RS 4.05 PER SH   
BE,HAPPSTMNDS,Happiest Minds Techno Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RS 3 PER SH    
BE,CAMS,Computer Age Mngt Ser Ltd,29/07/2021, , ,28/07/2021, , ,DIV - RS 11.84 PER SH    
BE,ANGELBRKG,Angel Broking Limited,22/06/2021, , ,21/06/2021, , ,ANNUAL GENERAL MEETING   
BE,CHOLAHLDNG,Cholamandalam Fin Hol Ltd, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RS 0.55 PER SH 
BE,RELIANCE,RELIANCE IND - DEPO SETT.,14/06/2021, , ,11/06/2021, , ,DIV - RS 7 PER SH        
BE,ASIANPAINT,Asian Paints Limited,11/06/2021, , ,10/06/2021, , ,DIV - RS 14.50 PER SH    
BE,NOCIL,NOCIL Limited, ,28/07/2021,03/08/2021,26/07/2021, , ,AGM/DIV - RS 2 PER SH    
BE,INDHOTEL,INDIAN HOTELS CO LTD,15/06/2021, , ,14/06/2021, , ,AGM/DIV - RS 0.40 PER SH 
BE,DRREDDY,DR. REDDY'S LABORATORIES, ,13/07/2021,15/07/2021,09/07/2021, , ,AGM/DIV - RS 25 PER SH   
BE,TATACHEM,TATA CHEMICALS LTD, ,16/06/2021,21/06/2021,14/06/2021, , ,AGM/DIV - RS 10 PER SH   
BE,HINDPETRO,HINDUSTAN PERTOLEUM CORP, ,12/07/2021,16/07/2021,08/07/2021, , ,DIV - RS 22.75 PER SH    
BE,M&M,MAHINDRA & MAHINDRA LTD, ,17/07/2021,06/08/2021,15/07/2021, , ,AGM/DIV-RS 8.75 PER SH   
BE,CARBORUNIV,Carborundum Univ Ltd, ,26/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
BE,RAYMOND,RAYMOND-depo, ,24/07/2021,02/08/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BE,ELGIEQUIP,Elgi Equipments Ltd, ,27/07/2021,02/08/2021,23/07/2021, , ,AGM/DIV - RS 0.80 PER SH 
BE,MAHSCOOTER,Maharashtra Scooters Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,AGM/DIV - RS 50 PER SH   
BE,RALLIS,Rallis India Ltd., ,11/06/2021,17/06/2021,09/06/2021, , ,AGM/DIV - RS 3 PER SH    
BE,SESHAPAPER,Seshasaye Pap & Boards , ,15/07/2021,24/07/2021,13/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
BE,GHCL,GHCL Limited,12/06/2021, , ,10/06/2021, , ,AGM/DIV - RS 5.50 PER SH 
BE,JYOTISTRUC,Jyoti Structures Ltd, ,08/06/2021,15/06/2021,04/06/2021, , ,ANNUAL GENERAL MEETING   
BE,SUPREMEIND,SUPREME INDUSTRIES LTD, ,23/06/2021,29/06/2021,21/06/2021, , ,AGM/DIV - RS 17 PER SH   
BE,BASF,BASF - Depo, ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV-RS 5/SPLDIV-RS 5 
BE,LYKALABS,Lyka Labs Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BE,ITC,ITC LTD,11/06/2021, , ,10/06/2021, , ,DIV - RS 5.75 PER SH     
BE,VSTIND,VST Industries Ltd., ,20/07/2021,27/07/2021,16/07/2021, , ,DIV - RS 114 PER SH      
BE,EIHOTEL,EIH LTD DEP, ,23/07/2021,25/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
BE,SHREDIGCEM,SHREE DIGVIJAY CEMENT,11/06/2021, , ,10/06/2021, , ,DIV - RS 2.50 PER SH     
BE,TATAPOWER,TATA POWER LTD, ,19/06/2021,05/07/2021,17/06/2021, , ,DIV - RS 1.55 PER SH     
BE,PHILIPCARB,Phillips Carbon Black, ,16/06/2021,22/06/2021,14/06/2021, , ,ANNUAL GENERAL MEETING   
BE,SRTRANSFIN,Shriram Trans Fin Co. Ltd, ,18/06/2021,24/06/2021,16/06/2021, , ,AGM/DIV - RS 6 PER SH    
BE,TATAELXSI,Tata Elxsi Limited, ,19/06/2021,25/06/2021,17/06/2021, , ,AGM/DIV-RS24/SPLDIV-RS24 
BE,SWARAJENG,Swaraj Engines Ltd, ,03/07/2021,09/07/2021,01/07/2021, , ,DIV-RS 50/SPLDIV-RS 19   
BE,AARTIIND,Aarti Industries Ltd.,23/06/2021, , ,22/06/2021, , ,BONUS 1:1                
BE,SUPPETRO,Supreme Petrochem Ltd, ,29/06/2021,01/07/2021,25/06/2021, , ,AGM/DIV-RS 12.50 PER SH  
BE,SHANTIGEAR,Shanthi Gears Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
BE,WHEELS,Wheels India Ltd, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RE 1 PER SH    
BE,HERITGFOOD,Heritage Foods Ltd., ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
BE,GABRIEL,Gabriel India Ltd,28/07/2021, , ,27/07/2021, , ,DIV - RS 0.70 PER SH     
BE,BLUEDART,Blue Dart Express Ltd, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 15 PER SH   
BE,BANARBEADS,BanarasBeadsLtd-RollSett, ,21/07/2021,27/07/2021,19/07/2021, , ,ANNUAL GENERAL MEETING   
BE,TORNTPHARM,TORNTPHARM - Depo,18/06/2021, , ,17/06/2021, , ,DIV - RS 15 PER SH       
BE,FOSECOIND,Foseco India Ltd, ,15/06/2021,21/06/2021,11/06/2021, , ,DIV - RS 10 PER SH       
BE,CADILAHC,Cadila Healthcare-Depo, ,30/07/2021,06/08/2021,28/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
BE,LAXMIMACH,LakshmiMachine-Roll Sett, ,15/07/2021,21/07/2021,13/07/2021, , ,AGM/DIV - RS 10 PER SH   
BE,JAYBARMARU,Jay Bharat Maruti Ltd,08/06/2021, , ,07/06/2021, , ,BONUS 1:1                
BE,NELCO,Nelco Ltd., ,09/06/2021,14/06/2021,07/06/2021, , ,DIV - RS 1.20 PER SH     
BE,HAVELLS,Havells India Limited, ,19/06/2021,23/06/2021,17/06/2021, , ,AGM/DIV - RS 3.50 PER SH 
BE,DWARKESH,Dwarikesh Sugar Ind. Ltd., ,14/07/2021,20/07/2021,12/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
BE,GLAXO,GlaxoSmithKline Pharmaceu,20/07/2021, , ,19/07/2021, , ,AGM/DIV - RS 30  PER SH  
BE,PONNIERODE,Ponni Sugars (Erode) Ltd., ,08/07/2021,20/07/2021,06/07/2021, , ,AGM/DIV-RS4/SPLDIV-RE1   
BE,SKFINDIA,SKF India Limited,07/07/2021, , ,06/07/2021, , ,AGM/DIV - RS 14.50 PER SH
BE,RANEHOLDIN,Rane Holdings Limited,30/07/2021, , ,29/07/2021, , ,ANNUAL GENERAL MEETING   
BE,KANSAINER,Kansai Nerolac Paints Ltd, ,19/06/2021,25/06/2021,17/06/2021, , ,AGM/DIV-RS 2/SPLDIV-RS 2 
BE,JSWSTEEL,JSW Steel Limited, ,07/07/2021,09/07/2021,05/07/2021, , ,AGM/DIV - RS 6.50 PER SH 
BE,WENDT,Wendt (India) Ltd., ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 20 PER SH   
BE,JINDALSAW,Jindal Saw Limited, ,10/07/2021,16/07/2021,08/07/2021, , ,AGM/DIV - RS 2 PER SH    
BE,TATASTEEL,Tata Steel Limited, ,19/06/2021,30/06/2021,17/06/2021, , ,AGM/DIV - RS 25 PER SH   
BE,ATUL,Atul Ltd., ,17/07/2021,23/07/2021,15/07/2021, , ,AGM/DIV - RS 20 PER SH   
BE,JETAIRWAYS,Jet Airways (India) Ltd., ,01/06/2021,08/06/2021,28/05/2021, , ,ANNUAL GENERAL MEETING   
BE,BEPL,Bhansal Engg PolyLtd-Depo, ,24/06/2021,30/06/2021,22/06/2021, , ,AGM/DIV - RE 1 PER SH    
BE,SHRIRAMCIT,Shriram Cityuni Fin.Ltd., ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 13 PER SH   
BE,M&MFIN,Mahindra & Mahindra Finan, ,20/07/2021,26/07/2021,16/07/2021, , ,AGM/DIV - RS  0.80 PER SH
BE,GANGOTRI,Gangotri Textiles Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BE,GRANULES,Granules India Limited, ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 0.75 PER SH 
BE,TATAINVEST,Tata Inv. Corpn Ltd., ,18/06/2021,28/06/2021,16/06/2021, , ,AGM/DIV - RS 24 PER SH   
BE,PIONEEREMB,Pioneer Embroideries Limi, ,10/07/2021,18/07/2021,08/07/2021, , ,AGM/DIV - RS 0.25  PER SH
BE,HINDUNILVR,Hindustan Unilever Ltd, ,16/06/2021,22/06/2021,14/06/2021, , ,AGM/DIV - RS 17 PER SH   
BE,TECHM,Tech Mahindra Limited, ,27/07/2021,30/07/2021,23/07/2021, , ,AGM/DIV-RS15SPLDIV-RS15  
BZ,JETAIRWAYS,Jet Airways (India) Ltd., ,01/06/2021,08/06/2021,28/05/2021, , ,ANNUAL GENERAL MEETING   
BZ,JYOTISTRUC,Jyoti Structures Ltd, ,08/06/2021,15/06/2021,04/06/2021, , ,ANNUAL GENERAL MEETING   
BZ,GANGOTRI,Gangotri Textiles Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BZ,BILENERGY,Bil Energy Systems Ltd, ,17/06/2021,21/06/2021,15/06/2021, , ,ANNUAL GENERAL MEETING   
D2,PEL,PEL 9.28% Unsec CCD,12/06/2021, , , , , ,CONVERSION INTO EQUITY   
E1,ABFRLPP1,Aditya Birla Rs7.5 ppd up,01/07/2021, , ,30/06/2021, , ,FNLCALL-RS 27.50 PER SH  
EQ,BANARBEADS,Banaras Beads Ltd, ,21/07/2021,27/07/2021,19/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,RALLIS,Rallis India Ltd., ,11/06/2021,17/06/2021,09/06/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,SUPREMEIND,Supreme Industries Ltd, ,23/06/2021,29/06/2021,21/06/2021, , ,AGM/DIV - RS 17 PER SH   
EQ,SUPPETRO,Supreme Petrochem Ltd, ,29/06/2021,01/07/2021,25/06/2021, , ,AGM/DIV-RS 12.50 PER SH  
EQ,TATAPOWER,Tata Power Co. Ltd., ,19/06/2021,05/07/2021,17/06/2021, , ,DIV - RS 1.55 PER SH     
EQ,TORNTPHARM,Torrent Pharma Ltd.,18/06/2021, , ,17/06/2021, , ,DIV - RS 15 PER SH       
EQ,TATACHEM,Tata Chemicals Ltd., ,16/06/2021,21/06/2021,14/06/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,EIHOTEL,EIH Ltd, ,23/07/2021,25/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,ELGIEQUIP,Elgi Equipments Ltd, ,27/07/2021,02/08/2021,23/07/2021, , ,AGM/DIV - RS 0.80 PER SH 
EQ,BLUEDART,Blue Dart Express Ltd, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 15 PER SH   
EQ,JYOTISTRUC,Jyoti Structures Ltd, ,08/06/2021,15/06/2021,04/06/2021, , ,ANNUAL GENERAL MEETING   
EQ,SHANTIGEAR,Shanthi Gears Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,PHILIPCARB,Phillips Carbon Black, ,16/06/2021,22/06/2021,14/06/2021, , ,ANNUAL GENERAL MEETING   
EQ,LYKALABS,Lyka Labs Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,TATAELXSI,Tata Elxsi Limited, ,19/06/2021,25/06/2021,17/06/2021, , ,AGM/DIV-RS24/SPLDIV-RS24 
EQ,M&M,Mah & Mah Ltd., ,17/07/2021,06/08/2021,15/07/2021, , ,AGM/DIV-RS 8.75 PER SH   
EQ,INDHOTEL,Indian Hotels Co. Ltd.,15/06/2021, , ,14/06/2021, , ,AGM/DIV - RS 0.40 PER SH 
EQ,ITC,ITC Ltd.,11/06/2021, , ,10/06/2021, , ,DIV - RS 5.75 PER SH     
EQ,AARTIIND,Aarti Industries Ltd.,23/06/2021, , ,22/06/2021, , ,BONUS 1:1                
EQ,GABRIEL,Gabriel India Ltd,28/07/2021, , ,27/07/2021, , ,DIV - RS 0.70 PER SH     
EQ,GLAXO,GlaxoSmithKline Pharmaceu,20/07/2021, , ,19/07/2021, , ,AGM/DIV - RS 30  PER SH  
EQ,GHCL,GHCL Limited,12/06/2021, , ,10/06/2021, , ,AGM/DIV - RS 5.50 PER SH 
EQ,FOSECOIND,Foseco India Ltd, ,15/06/2021,21/06/2021,11/06/2021, , ,DIV - RS 10 PER SH       
EQ,ASIANPAINT,Asian Paints Limited,11/06/2021, , ,10/06/2021, , ,DIV - RS 14.50 PER SH    
EQ,DRREDDY,Dr. Reddys Lab Ltd, ,13/07/2021,15/07/2021,09/07/2021, , ,AGM/DIV - RS 25 PER SH   
EQ,NOCIL,NOCIL Limited, ,28/07/2021,03/08/2021,26/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,HINDPETRO,Hindustan Petroleum Corp, ,12/07/2021,16/07/2021,08/07/2021, , ,DIV - RS 22.75 PER SH    
EQ,BASF,BASF Ltd., ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV-RS 5/SPLDIV-RS 5 
EQ,LAXMIMACH,Lakshmi Mach Works, ,15/07/2021,21/07/2021,13/07/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,SWARAJENG,Swaraj Engines Ltd, ,03/07/2021,09/07/2021,01/07/2021, , ,DIV-RS 50/SPLDIV-RS 19   
EQ,CARBORUNIV,Carborundum Univ Ltd, ,26/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
EQ,RAYMOND,Raymond Ltd., ,24/07/2021,02/08/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SESHAPAPER,Seshasaye Pap & Boards , ,15/07/2021,24/07/2021,13/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,SHREDIGCEM,Shree Digvijay Cem Co Ltd,11/06/2021, , ,10/06/2021, , ,DIV - RS 2.50 PER SH     
EQ,SRTRANSFIN,Shriram Trans Fin Co. Ltd, ,18/06/2021,24/06/2021,16/06/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,JAYBARMARU,Jay Bharat Maruti Ltd,08/06/2021, , ,07/06/2021, , ,BONUS 1:1                
EQ,MAHSCOOTER,Maharashtra Scooters Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,AGM/DIV - RS 50 PER SH   
EQ,NELCO,Nelco Ltd., ,09/06/2021,14/06/2021,07/06/2021, , ,DIV - RS 1.20 PER SH     
EQ,WHEELS,Wheels India Ltd, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,HERITGFOOD,Heritage Foods Ltd., ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,RELIANCE,Reliance Industries Ltd,14/06/2021, , ,11/06/2021, , ,DIV - RS 7 PER SH        
EQ,VSTIND,VST Industries Ltd., ,20/07/2021,27/07/2021,16/07/2021, , ,DIV - RS 114 PER SH      
EQ,CADILAHC,Cadila Healthcare Ltd., ,30/07/2021,06/08/2021,28/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
EQ,HAVELLS,Havells India Limited, ,19/06/2021,23/06/2021,17/06/2021, , ,AGM/DIV - RS 3.50 PER SH 
EQ,DWARKESH,Dwarikesh Sugar Industrie, ,14/07/2021,20/07/2021,12/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
EQ,PONNIERODE,Ponni Sugars (Erode) Limi, ,08/07/2021,20/07/2021,06/07/2021, , ,AGM/DIV-RS4/SPLDIV-RE1   
EQ,SKFINDIA,SKF India Limited,07/07/2021, , ,06/07/2021, , ,AGM/DIV - RS 14.50 PER SH
EQ,RANEHOLDIN,Rane Holdings Limited,30/07/2021, , ,29/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,KANSAINER,Kansai Nerolac Paints Ltd, ,19/06/2021,25/06/2021,17/06/2021, , ,AGM/DIV-RS 2/SPLDIV-RS 2 
EQ,JSWSTEEL,JSW Steel Limited, ,07/07/2021,09/07/2021,05/07/2021, , ,AGM/DIV - RS 6.50 PER SH 
EQ,WENDT,Wendt (India) Ltd., ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 20 PER SH   
EQ,JINDALSAW,Jindal Saw Limited, ,10/07/2021,16/07/2021,08/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,TATASTEEL,Tata Steel Limited, ,19/06/2021,30/06/2021,17/06/2021, , ,AGM/DIV - RS 25 PER SH   
EQ,ATUL,Atul Ltd., ,17/07/2021,23/07/2021,15/07/2021, , ,AGM/DIV - RS 20 PER SH   
EQ,JETAIRWAYS,Jet Airways (India) Ltd., ,01/06/2021,08/06/2021,28/05/2021, , ,ANNUAL GENERAL MEETING   
EQ,BEPL,Bhansali Eng. Polymers Lt, ,24/06/2021,30/06/2021,22/06/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,SHRIRAMCIT,Shriram City Union Financ, ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 13 PER SH   
EQ,M&MFIN,Mahindra & Mahindra Finan, ,20/07/2021,26/07/2021,16/07/2021, , ,AGM/DIV - RS  0.80 PER SH
EQ,GANGOTRI,Gangotri Textiles Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,GRANULES,Granules India Limited, ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 0.75 PER SH 
EQ,TATAINVEST,Tata Inv. Corpn Ltd., ,18/06/2021,28/06/2021,16/06/2021, , ,AGM/DIV - RS 24 PER SH   
EQ,PIONEEREMB,Pioneer Embroideries Limi, ,10/07/2021,18/07/2021,08/07/2021, , ,AGM/DIV - RS 0.25  PER SH
EQ,HINDUNILVR,Hindustan Unilever Ltd, ,16/06/2021,22/06/2021,14/06/2021, , ,AGM/DIV - RS 17 PER SH   
EQ,TECHM,Tech Mahindra Limited, ,27/07/2021,30/07/2021,23/07/2021, , ,AGM/DIV-RS15SPLDIV-RS15  
EQ,ICRA,ICRA Limited, ,24/07/2021,28/07/2021,22/07/2021, , ,DIV - RS 27 PER SH       
EQ,GRINDWELL,Grindwell Norton Limited, ,22/07/2021,28/07/2021,19/07/2021, , ,AGM/DIV - RS 9.50 PER SH 
EQ,NILKAMAL,Nilkamal Limited, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,JSWHL,JSW Holdings Limited, ,23/06/2021,24/06/2021,21/06/2021, , ,ANNUAL GENERAL MEETING   
EQ,PTL,PTL Enterprises Limited, ,05/07/2021,15/07/2021,01/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,NAVINFLUOR,Navin Fluorine Internatio, ,13/07/2021,16/07/2021,09/07/2021, , ,DIV - RS 6 PER SH        
EQ,APCOTEXIND,Apcotex Industries Ltd., ,03/07/2021,08/07/2021,01/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,TORNTPOWER,Torrent Power Limited,25/06/2021, , ,24/06/2021, , ,DIV - RS 5.50 PER SH     
